date,NGE_all,NGE_DITM,NGE_ITM,NGE_ATM,NGE_OTM,NGE_DOTM
2021-09-14,1881555.0035397839,380234.997051361,1474941.2911996148,2733344.9201927017,-1960299.5007329849,-746666.7041709062
2021-09-15,2710489.418990409,-84776.37629445744,-1233285.3357649778,-255022.74355141493,3153857.5710987397,1129716.3035025187
2021-09-16,1851958.5938405264,-54138.121709176165,59846.22004815005,834653.2225059127,539768.311492539,471828.961503102
2021-09-17,2589735.6428013267,-149384.81931393108,234640.74877610925,1370036.6391561702,530377.1502777175,604065.9239052617
2021-09-22,-190291.18009239156,-534229.1232710185,-1436764.4363299627,-1765771.5448100162,2482266.1652330062,1064207.7590855984
2021-09-23,891478.6964858817,-76210.18022493357,-95414.27247265511,387497.0309222103,423518.303086689,252087.81517456938
2021-09-24,806370.5909811743,-155149.14557567175,-160758.0535904941,224123.38953971327,444008.23587700864,454146.16473061824
2021-09-27,576798.109926518,-267531.22073673626,-379931.1344845893,-118337.16525748023,483367.03383034817,859230.596574977
2021-09-28,779800.9365998972,336554.87559902057,839750.7199122021,799018.2016970607,-385659.81994218635,-809863.0406661974
2021-09-29,1013329.1426082794,-262621.0538930405,-387531.1827059986,-85973.83839982538,722742.4396219765,1026712.777985167
2021-09-30,1282194.7739188056,-252322.81771834294,-466316.8536970443,-130153.65501766815,1015964.4922108911,1115023.6081409706
2021-10-08,1292923.1914074617,155212.004484964,829904.2350788318,928982.2766485692,-320438.2675261777,-300737.05727872485
2021-10-11,1539015.0567876715,6722.863989793172,269631.3259363768,478505.8761605907,339414.46551046846,444740.5251904398
2021-10-12,858413.0820568241,39605.72637069534,301911.46978472464,364735.7861663657,2455.8223154922016,149704.27741954825
2021-10-13,1664002.8186253347,-45651.905465001386,311241.76246311434,780656.8923266507,380417.39446040126,237338.67484017066
2021-10-14,1509143.3753913408,36003.2354740382,118121.746651566,589373.8146358845,467417.8389484226,298226.739681429
2021-10-15,1429585.0042856792,30485.011837064754,-158099.88513518462,86107.0321299606,850590.2020067933,620502.6434470417
2021-10-18,1255063.8443899043,195816.4171776719,941877.2186309339,1439040.8217258807,-853183.7043302108,-468486.9088143739
2021-10-19,1586824.5905922558,15065.512216558884,396276.7271785828,998484.7161887479,157941.11023776373,19056.524770603748
2021-10-20,2065403.1521005956,64189.30054879893,447736.5752807006,1225850.5911269872,210103.1140539511,117523.57109015645
2021-10-21,1656133.185525083,-39455.59658981275,-91192.123089473,-50453.086206215434,1193815.3462117107,643418.6451988752
2021-10-22,1318214.9368343055,364567.94329735194,3207120.1920783054,2618983.639328433,-3536178.6929073012,-1336278.144962483
2021-10-25,1337770.992939949,627658.5517292966,-1569648.3595571397,-1805834.350848691,5356948.07291855,-1271352.921302068
2021-10-26,1855034.8138565458,23773.665441471298,-1150835.4094960415,-1596304.2293584663,4418089.6465994585,160311.14067012654
2021-10-27,3399647.9807774182,-70476.39110290338,-86931.60262609052,2197479.6615384463,785853.9091441506,573722.4038238149
2021-10-28,1630121.0241569765,-50327.307673850766,-165225.52158654248,491723.49600563943,799107.6604254574,554842.696986275
2021-10-29,1905342.6731313616,-38142.405679522984,-229532.49867453065,603190.2388810595,957764.2264031842,612063.1122011739
2021-11-01,1690415.9109417712,-29959.77002155094,-267802.6136665422,440679.9331570526,888345.4273589037,659152.9341139077
2021-11-02,1810341.0235914132,95389.12409331242,25631.20187102293,1009567.3599203427,563093.41447915,116659.92322758841
2021-11-03,1924756.0848182803,-573764.2684245103,-1649654.5308396083,-643255.9203356613,2435846.719548618,2355584.0848694416
2021-11-04,2431264.2753928863,-591964.7261168638,-1854089.474520246,-647792.8554227669,2802821.0118431253,2722290.319609639
2021-11-05,2295935.282476429,127934.64002424473,315975.587774397,1447859.45757222,596101.2592293001,-191935.66212373134
2021-11-08,2656308.042113225,-541789.7359636226,-1922521.6777831553,-729249.0167412197,3187960.867821633,2661907.604779588
2021-11-09,2843751.4793557227,-349419.0898970632,-1791940.4307320283,-524357.6447564668,3267074.0971937836,2242394.5475474945
2021-11-10,2924149.580790111,-251591.65668679043,-1095942.7910854104,499420.0752567281,2497993.4091236684,1274270.5441819155
2021-11-11,2836433.804893246,-417073.75426265254,-2107161.725472298,-1021648.2948650077,3823247.185864846,2559070.3936283556
2021-11-12,2882509.2811397724,173659.52498966997,888160.6254343583,2199785.339342006,-135630.71237859223,-243465.4962476727
2021-11-15,3192434.5887067737,208267.5538627613,1393873.6094435502,2581619.828275249,-642316.9060419765,-349009.49683281174
2021-11-16,3644919.5818182305,138749.9050647376,856670.7242232148,2606798.795868206,140713.4256050773,-98013.26894300687
2021-11-17,3487013.010684573,201760.93421230253,-3209399.106945294,-1341511.068356926,8292121.183958212,-455958.932183721
2021-11-18,3584348.5281074895,-146045.7977811184,-1829907.4592631906,-387344.36022017384,4251100.199423456,1696545.9459485156
2021-11-19,2787586.917667076,-123611.58904186671,-1580706.4875317088,-668914.1225766577,3813936.750194559,1346882.3666227502
2021-11-22,3906884.8486154135,121038.8837994762,1561015.603396662,4217466.39217948,-1806369.434907217,-186266.59585298516
2021-11-23,3603454.036193885,123793.0093676495,436839.2852434359,4372490.364854988,-1176753.5712888723,-152915.05198331433
2021-11-24,2760029.0399565734,195560.8944853308,370902.4545401523,2963895.612235057,-636275.2399785107,-134054.681325456
2021-11-25,1035710.9975624625,207205.30724243258,625320.0882916409,856016.497303267,-359330.9071942752,-293499.9880806027
2021-11-26,1542800.2837568168,-236325.69638518852,-1221501.8126417857,-250409.5720542483,1960350.8684741873,1290686.4963638517
2021-11-29,1894457.726302093,-196199.6484737485,-1161966.4190599024,-76032.36084606778,2106303.466033321,1222352.6886484902
2021-11-30,2115020.9915339835,-100202.75383857841,-1041568.7637086826,144462.55552303628,2103111.083959693,1009218.8695985161
